text,intent
my nails look perfectly normal and smooth.,healthy_nail
my nails are in excellent condition.,healthy_nail
they look completely fine and strong.,healthy_nail
"i have clear, shiny nails.",healthy_nail
my fingernails are pink and smooth.,healthy_nail
no discoloration or spots on my nails.,healthy_nail
the surface of my nails is very smooth.,healthy_nail
i see no signs of any nail problems.,healthy_nail
my nails grow quickly and look normal.,healthy_nail
"they are strong, not brittle at all.",healthy_nail
the color is consistent and healthy-looking.,healthy_nail
i just want to check if my nails are okay.,healthy_nail
my nails are completely clear.,healthy_nail
no ridges or grooves on the nail surface.,healthy_nail
my nails are uniform in color.,healthy_nail
my toe nails seem perfectly healthy.,healthy_nail
they are firm and don't bend easily.,healthy_nail
i maintain my nails well; they look good.,healthy_nail
the cuticles are intact and healthy.,healthy_nail
"i have beautiful, strong nails.",healthy_nail
what does a normal nail look like?,healthy_nail
my nails have a healthy pink glow.,healthy_nail
nothing seems wrong with my finger nails.,healthy_nail
"the nail plate is smooth, no bumps.",healthy_nail
"they are clear, without cloudiness.",healthy_nail
i don't have any pain or unusual color.,healthy_nail
my nails are perfectly fine.,healthy_nail
is this what a healthy nail should be?,healthy_nail
i have even colored nails.,healthy_nail
my nails are resilient and undamaged.,healthy_nail
the lunula is visible and white.,healthy_nail
they look nice and shiny.,healthy_nail
no lifting or separating of the nail.,healthy_nail
i am checking my normal looking nails.,healthy_nail
my nails feel strong and hard.,healthy_nail
just verifying my healthy nails.,healthy_nail
i see no marks or lines.,healthy_nail
they are all one healthy color.,healthy_nail
i have well-maintained nails.,healthy_nail
my nails are healthy-looking.,healthy_nail
the surface is flat and unblemished.,healthy_nail
my toenails are also fine.,healthy_nail
i have good nail health.,healthy_nail
the nails are strong and not peeling.,healthy_nail
everything looks great with my nails.,healthy_nail
my fingernails are pink and clear.,healthy_nail
i have no signs of infection.,healthy_nail
my nails appear to be normal.,healthy_nail
"they are smooth, no pitting.",healthy_nail
i don't have any white or yellow spots.,healthy_nail
my nails are completely healthy.,healthy_nail
they are smooth with no defects.,healthy_nail
the nail bed is pink and healthy.,healthy_nail
my nails are growing out fine.,healthy_nail
"i have strong, clear fingernails.",healthy_nail
no unusual curvature or shape.,healthy_nail
they look natural and healthy.,healthy_nail
i'm checking my regular nails.,healthy_nail
the cuticle area looks clean.,healthy_nail
i see no separation from the bed.,healthy_nail
my nail is totally clear.,healthy_nail
how can i tell if my nails are healthy?,healthy_nail
my nails are perfectly shaped.,healthy_nail
no sign of damage on my toenails.,healthy_nail
they are translucent and look good.,healthy_nail
i have normal nail plates.,healthy_nail
the nail is smooth and not thickened.,healthy_nail
my nails are just fine.,healthy_nail
what does a standard healthy nail look like?,healthy_nail
i am certain my nails are healthy.,healthy_nail
"the color is right, not too pale or dark.",healthy_nail
my nails are sturdy.,healthy_nail
i don't have any dark lines.,healthy_nail
my nails are totally normal.,healthy_nail
they look great.,healthy_nail
no crumbling or breaking.,healthy_nail
