text,intent
"hi kubot","greeting_smalltalk"
"hello","greeting_smalltalk"
"hey there","greeting_smalltalk"
"good morning kubot","greeting_smalltalk"
"good evening","greeting_smalltalk"
"hi assistant","greeting_smalltalk"
"yo kubot","greeting_smalltalk"
"nice to meet you","greeting_smalltalk"
"how are you kubot","greeting_smalltalk"
"hello i need help","greeting_smalltalk"
"hi can we talk","greeting_smalltalk"
"hey kubot","greeting_smalltalk"
"good day","greeting_smalltalk"
"hi there","greeting_smalltalk"
"hello buddy","greeting_smalltalk"
"hey whats up","greeting_smalltalk"
"hi i have a question","greeting_smalltalk"
"hello can you assist me","greeting_smalltalk"
"hi please help me","greeting_smalltalk"
"hey i need guidance","greeting_smalltalk"
"hello kubot","greeting_smalltalk"
"can you talk to me","greeting_smalltalk"
"hi i am here","greeting_smalltalk"
"good afternoon kubot","greeting_smalltalk"
"hey i need support","greeting_smalltalk"
"hi i want to know something","greeting_smalltalk"
"hello nail assistant","greeting_smalltalk"
"hi is anyone there","greeting_smalltalk"
"yo assistant","greeting_smalltalk"
"hello friend","greeting_smalltalk"
"hi whats going on","greeting_smalltalk"
"hey just checking in","greeting_smalltalk"
"hi kubot how are you","greeting_smalltalk"
"hello hope youre good","greeting_smalltalk"
"hi lets start","greeting_smalltalk"
"hey need your help","greeting_smalltalk"
"hello can you answer me","greeting_smalltalk"
"hi i have concerns","greeting_smalltalk"
"hello i want to ask","greeting_smalltalk"
"hi thank you","greeting_smalltalk"
"hey thanks","greeting_smalltalk"
"hello are you available","greeting_smalltalk"
"hi can you explain something","greeting_smalltalk"
"hello can you guide me","greeting_smalltalk"
"hey can you answer a question","greeting_smalltalk"
"hi i want info","greeting_smalltalk"
"hello just saying hi","greeting_smalltalk"
"hi im here","greeting_smalltalk"
"can you help me kubot","greeting_smalltalk"
"hey there, how's it going today?","greeting_smalltalk"
"hi kubot, what’s up?","greeting_smalltalk"
"hello! how are you?","greeting_smalltalk"
"good day kubot, how’s everything?","greeting_smalltalk"
"yo kubot, hope you're doing good","greeting_smalltalk"
"hi friend, what can you do?","greeting_smalltalk"
"hello there, nice to meet you","greeting_smalltalk"
"good morning kubot","greeting_smalltalk"
"good afternoon, kubot!","greeting_smalltalk"
"good evening, how are you kubot?","greeting_smalltalk"
"hey kubot, what’s new?","greeting_smalltalk"
"hi, just checking in","greeting_smalltalk"
"hello bot, how’s your day so far?","greeting_smalltalk"
"hey there, nice to see you","greeting_smalltalk"
"hi kubot, I’m here again","greeting_smalltalk"
"yo, what’s good kubot?","greeting_smalltalk"
"hey, can you chat with me?","greeting_smalltalk"
"hi, I just want to talk","greeting_smalltalk"
"hello kubot, ready to help?","greeting_smalltalk"
"greetings kubot, how are you today?","greeting_smalltalk"
"hi buddy, how’s life?","greeting_smalltalk"
"hello, I’m back","greeting_smalltalk"
"hey, let’s talk for a bit","greeting_smalltalk"
"hi kubot, how you doing?","greeting_smalltalk"
"hello assistant, how’s everything?","greeting_smalltalk"
"hi, can we start chatting now?","greeting_smalltalk"
"hey assistant, what’s up?","greeting_smalltalk"
"hello, I’d like to ask something","greeting_smalltalk"
"hi kubot, I need some help today","greeting_smalltalk"
"hey there, hope you’re doing well","greeting_smalltalk"
"hi, good to see you again","greeting_smalltalk"
"hello kubot, good to chat again","greeting_smalltalk"
"hey pal, how’s your day?","greeting_smalltalk"
"hi bot, how are you feeling?","greeting_smalltalk"
"hello kubot, ready when you are","greeting_smalltalk"
"hi, hope you can assist me","greeting_smalltalk"
"hey assistant, let’s chat","greeting_smalltalk"
"hello friend, need your help","greeting_smalltalk"
"hi kubot, what’s happening today?","greeting_smalltalk"
"sup kubot?","greeting_smalltalk"
"hey kubot, are you there?","greeting_smalltalk"
"hi there kubot, long time no see","greeting_smalltalk"
"hello again, i’m back for more help","greeting_smalltalk"
"hey, glad to see you online","greeting_smalltalk"
"hi kubot, can we chat for a moment","greeting_smalltalk"
"hello there, i hope youre doing well","greeting_smalltalk"
"hey bot, nice to see you again","greeting_smalltalk"
"hi, i’m happy to talk with you","greeting_smalltalk"
"hello kubot, i missed chatting with you","greeting_smalltalk"
"hey, good to connect with you again","greeting_smalltalk"
"hi there assistant, ready to help me out?","greeting_smalltalk"
"hello, thanks for being here for me","greeting_smalltalk"
"hey kubot, can you keep me company?","greeting_smalltalk"
"hi, i feel like talking to you today","greeting_smalltalk"
"hello there, can we have a quick chat?","greeting_smalltalk"
"hey, i just dropped by to say hi","greeting_smalltalk"
"hi kubot, nice to see you here","greeting_smalltalk"
"hello assistant, good to see you online","greeting_smalltalk"
"hey buddy, can we talk a little?","greeting_smalltalk"
"hi there, thanks for chatting with me","greeting_smalltalk"
"hey kubot, can we talk for a while","greeting_smalltalk"
"hi there, just wanted to say hello","greeting_smalltalk"
"hello kubot, glad to see you again","greeting_smalltalk"
"hey assistant, nice to chat with you","greeting_smalltalk"
"hi kubot, i’m here to ask something","greeting_smalltalk"

"what does yellow nail mean","nail_condition_info"
"why are my nails ridged","nail_condition_info"
"what causes nail pitting","nail_condition_info"
"why are my nails brittle","nail_condition_info"
"what does nail clubbing indicate","nail_condition_info"
"what causes brown nail discoloration","nail_condition_info"
"why do i have white spots on nails","nail_condition_info"
"what does a dark streak on nails mean","nail_condition_info"
"are horizontal nail lines serious","nail_condition_info"
"what does thick toenail mean","nail_condition_info"
"what are unhealthy nail symptoms","nail_condition_info"
"why do my nails peel","nail_condition_info"
"what does spoon shaped nails imply","nail_condition_info"
"what does nail separation mean","nail_condition_info"
"why are nails turning blue","nail_condition_info"
"what causes red streaks on nails","nail_condition_info"
"are curved nails normal","nail_condition_info"
"why do nails change texture","nail_condition_info"
"what does rough nail surface indicate","nail_condition_info"
"is nail discoloration dangerous","nail_condition_info"
"what does melanoma on nails look like","nail_condition_info"
"why do i see dents in my nails","nail_condition_info"
"what causes soft nails","nail_condition_info"
"why is my nail thick and curved","nail_condition_info"
"what does pale nails mean","nail_condition_info"
"why are my nails turning black","nail_condition_info"
"are brittle nails a deficiency sign","nail_condition_info"
"what causes nail deformity","nail_condition_info"
"why is only one nail damaged","nail_condition_info"
"what does yellow thick nail indicate","nail_condition_info"
"what does nail splitting mean","nail_condition_info"
"why is there a ridge down my nail","nail_condition_info"
"what does greenish nail mean","nail_condition_info"
"why do my nails have bumps","nail_condition_info"
"what does bluish nail color mean","nail_condition_info"
"are dents in nails normal","nail_condition_info"
"why do nails grow weird","nail_condition_info"
"what does nail lifting suggest","nail_condition_info"
"why is my nail surface uneven","nail_condition_info"
"what causes nail thickening","nail_condition_info"
"why do my nails suddenly turn yellow","nail_condition_info"
"what does a straight ridge indicate","nail_condition_info"
"why is there a dot on my nail","nail_condition_info"
"what causes nail swelling","nail_condition_info"
"why are my nails fragile","nail_condition_info"
"what does brown line on nail imply","nail_condition_info"
"why is only one nail thick","nail_condition_info"
"what causes wavy nails","nail_condition_info"
"why are my nails rough","nail_condition_info"
"what does a yellowish nail indicate?","nail_condition_info"
"why do my nails have ridges?","nail_condition_info"
"what does clubbing look like?","nail_condition_info"
"explain what pitting in nails means","nail_condition_info"
"how does onychogryphosis appear?","nail_condition_info"
"what can cause discoloration in nails?","nail_condition_info"
"why are my nails brittle?","nail_condition_info"
"can nail conditions show health issues?","nail_condition_info"
"what does melanoma under the nail look like?","nail_condition_info"
"signs of fungal infections in nails?","nail_condition_info"
"what are symptoms of nail inflammation?","nail_condition_info"
"what does a healthy nail look like?","nail_condition_info"
"why do nails become thick and curved?","nail_condition_info"
"what causes dents in fingernails?","nail_condition_info"
"how do I identify nail diseases?","nail_condition_info"
"why do nails turn brown or black?","nail_condition_info"
"what does lifting of the nail plate mean?","nail_condition_info"
"are vertical ridges normal?","nail_condition_info"
"can nail conditions indicate systemic diseases?","nail_condition_info"
"what does spoon-shaped nails imply?","nail_condition_info"
"why is my nail growing strangely?","nail_condition_info"
"what does white streaking on nails mean?","nail_condition_info"
"explain thickened nails causes","nail_condition_info"
"why would my nail detach slightly?","nail_condition_info"
"how can I tell if my nail is infected?","nail_condition_info"
"does nail color reflect my health?","nail_condition_info"
"what causes dark vertical bands on nails?","nail_condition_info"
"can vitamin deficiency affect nails?","nail_condition_info"
"what does nail brittleness indicate?","nail_condition_info"
"why do nails peel easily?","nail_condition_info"
"should I worry about nail lines?","nail_condition_info"
"what are common nail abnormalities?","nail_condition_info"
"is nail clubbing dangerous?","nail_condition_info"
"what does inflammation around nails mean?","nail_condition_info"
"can stress affect nail appearance?","nail_condition_info"
"how do I know if a nail condition is serious?","nail_condition_info"
"what are early signs of nail melanoma?","nail_condition_info"
"why do my nails turn weird colors?","nail_condition_info"
"what causes nail grooves?","nail_condition_info"
"impact of diseases on nails?","nail_condition_info"
"can nail fungus spread to other nails","nail_condition_info"
"what is the difference between nail fungus and mold","nail_condition_info"
"how can i tell if my nail is bruised or infected","nail_condition_info"
"are black lines on nails always a bad sign","nail_condition_info"
"can nail conditions cause pain or just look abnormal","nail_condition_info"
"what early signs show a nail infection starting","nail_condition_info"
"how long does it take for a damaged nail to grow out","nail_condition_info"
"can shoes or trauma cause nail discoloration","nail_condition_info"
"how do i know if my thick nail is from fungus or injury","nail_condition_info"
"do nail changes always mean a medical problem","nail_condition_info"
"can nail conditions improve on their own","nail_condition_info"
"what nail symptoms mean i should see a dermatologist","nail_condition_info"
"how can i spot the difference between normal ridges and disease","nail_condition_info"
"does nail pain usually mean an active infection","nail_condition_info"
"can nail problems be related to diabetes or circulation issues","nail_condition_info"
"what does it mean if the skin around my nail is red and swollen","nail_condition_info"
"are small dark dots under the nail something to worry about","nail_condition_info"
"how can i recognize a chronic nail condition versus a temporary change","nail_condition_info"
"can frequent manicures or polish cause nail damage signs","nail_condition_info"
"what kinds of nail changes are considered warning signs for cancer","nail_condition_info"
"my nail turned yellow and thick, what does it mean","nail_condition_info"
"there is a dark line on my nail, should i worry","nail_condition_info"
"my nails are brittle and peeling, what could cause that","nail_condition_info"
"why is the skin around my nail red and swollen","nail_condition_info"
"my nail changed color suddenly, what does that indicate","nail_condition_info"


"how do i scan my nails","app_navigation"
"where can i see my scan history","app_navigation"
"how do i open my profile","app_navigation"
"how do i change my profile picture","app_navigation"
"how do i log out","app_navigation"
"where do i find the about us page","app_navigation"
"how do i return to dashboard","app_navigation"
"how do i start a new scan","app_navigation"
"where is the upload button","app_navigation"
"how do i navigate the app","app_navigation"
"how do i access the chatbot","app_navigation"
"how do i switch to history tab","app_navigation"
"where can i edit my information","app_navigation"
"how do i delete a scan","app_navigation"
"how do i check health tips","app_navigation"
"how do i enable dark mode","app_navigation"
"can i update my account info","app_navigation"
"where is the scan button","app_navigation"
"how do i find my latest scan","app_navigation"
"how do i see detailed results","app_navigation"
"is there a help section","app_navigation"
"how do i refresh the dashboard","app_navigation"
"how do i go back","app_navigation"
"where is the settings page","app_navigation"
"how do i reset my data","app_navigation"
"how do i change app language","app_navigation"
"how do i access recommendations","app_navigation"
"how do i reopen my last scan","app_navigation"
"where is my profile","app_navigation"
"how do i sign out","app_navigation"
"how do i view saved scans","app_navigation"
"how do i find notifications","app_navigation"
"how do i contact support","app_navigation"
"where do i find app info","app_navigation"
"how do i update my birthday","app_navigation"
"how do i check my stats","app_navigation"
"where is the home page","app_navigation"
"how do i change my name","app_navigation"
"how do i switch screens","app_navigation"
"where do i check app version","app_navigation"
"how do i open the menu","app_navigation"
"how do i return to previous page","app_navigation"
"how do i go to scan page","app_navigation"
"where is the camera option","app_navigation"
"how do i change password","app_navigation"
"how do i see history details","app_navigation"
"how do i navigate tabs","app_navigation"
"how do i check my profile stats","app_navigation"
"where do i find my recent scans","app_navigation"
"how do I navigate to the scan page?","app_navigation"
"where can I check my scan history?","app_navigation"
"how do I return to the dashboard?","app_navigation"
"which button opens the chatbot?","app_navigation"
"how can I view my previous results?","app_navigation"
"where do I change my profile info?","app_navigation"
"how do I access the profile page?","app_navigation"
"where is the health tips section?","app_navigation"
"how do I start a new scan?","app_navigation"
"what icon lets me chat with kubot?","app_navigation"
"how can I find the FAQs?","app_navigation"
"how do I get back to home?","app_navigation"
"where is the option to upload an image?","app_navigation"
"how do I check my past scans?","app_navigation"
"how do I open the settings?","app_navigation"
"where do I find the about page?","app_navigation"
"how do I switch to the scan camera?","app_navigation"
"how do I access quick answers?","app_navigation"
"where can I view my previous detections?","app_navigation"
"how do I navigate to the learning materials?","app_navigation"
"how do I get to the chatbot suggestions?","app_navigation"
"which section shows recent activity?","app_navigation"
"how do I log out of the app?","app_navigation"
"where is the scan button located?","app_navigation"
"how do I refresh the dashboard?","app_navigation"
"how can I review old results?","app_navigation"
"where is the main menu?","app_navigation"
"how do I use the navigation bar?","app_navigation"
"how do I open my history tab?","app_navigation"
"where can I find quick prompts?","app_navigation"
"how do I get to my account details?","app_navigation"
"where is the help section?","app_navigation"
"how do I get to the home interface?","app_navigation"
"how do I check my saved results?","app_navigation"
"how do I open the scanning interface?","app_navigation"
"which area contains nail info?","app_navigation"
"how do I return to previous page?","app_navigation"
"where do I find kubot features?","app_navigation"
"how do I locate chatbot history?","app_navigation"
"how do I navigate through the app?","app_navigation"
"how do i get to the nail scanner screen","app_navigation"
"where can i tap to begin a new nail scan","app_navigation"
"how do i move from history back to the scan page","app_navigation"
"which option lets me open my profile details","app_navigation"
"how do i reach the page with my account settings","app_navigation"
"where do i go to manage my personal information","app_navigation"
"how can i quickly jump to my latest result page","app_navigation"
"where is the shortcut to open scan history","app_navigation"
"how do i switch from scan view to profile view","app_navigation"
"which button takes me to notifications center","app_navigation"
"how do i open the screen with learning resources","app_navigation"
"where do i tap to see all my previous detections","app_navigation"
"how do i access the section that shows my stats","app_navigation"
"how can i return to the main home screen from here","app_navigation"
"which menu item takes me to support or help","app_navigation"
"how do i find the option to edit my profile image","app_navigation"
"where can i see an overview of all my scans","app_navigation"
"how do i open the part of the app with nail education","app_navigation"
"how do i navigate from profile back to dashboard","app_navigation"
"which tab should i select to start using the scanner","app_navigation"
"how do i open the nail scanner from the home screen","app_navigation"
"where can i tap to see my previous results","app_navigation"
"how do i go from dashboard to my profile page","app_navigation"
"where is the button to upload a nail photo","app_navigation"
"how do i navigate back from history to the main screen","app_navigation"

"my scan result says clubbing what does that mean","scan_result_explanation"
"the scan detected melanoma can you explain","scan_result_explanation"
"my scan shows healthy nail what does that mean","scan_result_explanation"
"why did the result show high risk","scan_result_explanation"
"what does moderate risk imply in my scan","scan_result_explanation"
"the app labeled my nail as pitting explain","scan_result_explanation"
"my scan says onychogryphosis what is that","scan_result_explanation"
"why did my scan confidence change","scan_result_explanation"
"what does confidence score mean","scan_result_explanation"
"why is my result marked unknown","scan_result_explanation"
"please explain my recent scan result","scan_result_explanation"
"why does the app think my nail is unhealthy","scan_result_explanation"
"how should i interpret my result","scan_result_explanation"
"why is my scan labeled moderate","scan_result_explanation"
"the risk is low does that mean im safe","scan_result_explanation"
"does high confidence mean accuracy","scan_result_explanation"
"my scan changed after rescanning explain","scan_result_explanation"
"the app detected discoloration why","scan_result_explanation"
"what does healthy result confirm","scan_result_explanation"
"is melanoma detection reliable","scan_result_explanation"
"why is my nail result different now","scan_result_explanation"
"can you explain the labeled condition","scan_result_explanation"
"what does the model see in my nail","scan_result_explanation"
"why is the risk color red","scan_result_explanation"
"why is my scan yellow coded","scan_result_explanation"
"what determines the risk level","scan_result_explanation"
"why does result say moderate risk","scan_result_explanation"
"what does severe result mean","scan_result_explanation"
"how does the system label nails","scan_result_explanation"
"why did the model predict clubbing","scan_result_explanation"
"does healthy mean normal","scan_result_explanation"
"why does the app think it's pitting","scan_result_explanation"
"what does the label imply","scan_result_explanation"
"is the classification correct","scan_result_explanation"
"how do i know if the result is true","scan_result_explanation"
"why is confidence low","scan_result_explanation"
"why is confidence high","scan_result_explanation"
"should i worry about this result","scan_result_explanation"
"why does my result look odd","scan_result_explanation"
"what does the scan mean","scan_result_explanation"
"why does it say abnormal","scan_result_explanation"
"what does app see in my nail photo","scan_result_explanation"
"why is the result interpretation like that","scan_result_explanation"
"what do these colors mean","scan_result_explanation"
"why am i seeing this risk level","scan_result_explanation"
"how to understand my scan","scan_result_explanation"
"why did the scan highlight the area","scan_result_explanation"
"what does this prediction mean","scan_result_explanation"
"why is the label this condition","scan_result_explanation"
"can you interpret my scan result","scan_result_explanation"
"what does the risk percentage in my scan mean","scan_result_explanation"
"my scan shows a high risk label what does it indicate","scan_result_explanation"
"why is my scan classified as pitting","scan_result_explanation"
"can you explain why the system predicted clubbing","scan_result_explanation"
"what does the melanoma detection in my scan mean","scan_result_explanation"
"why does my result say onychogryphosis","scan_result_explanation"
"my scan has a low confidence score why","scan_result_explanation"
"what does a high confidence value mean in my scan","scan_result_explanation"
"the result says moderate severity what does that imply","scan_result_explanation"
"can you help me understand the result my scan gave","scan_result_explanation"
"what does the yellow marker on the analysis screen represent","scan_result_explanation"
"the scan result seems unclear can you explain it","scan_result_explanation"
"why does the result show abnormal nail features","scan_result_explanation"
"my scan shows a warning icon what does that mean","scan_result_explanation"
"the model predicted something unusual explain it","scan_result_explanation"
"i don’t understand the detected condition can you clarify","scan_result_explanation"
"what does the text under the scan image mean","scan_result_explanation"
"why did the risk level shift from low to moderate","scan_result_explanation"
"can you explain the confidence breakdown in my scan","scan_result_explanation"
"my scan result looks different from last time why","scan_result_explanation"
"what is the reason behind the predicted condition","scan_result_explanation"
"why is the color indicator next to my result red","scan_result_explanation"
"the scan says mild abnormality what does it mean","scan_result_explanation"
"why did my scan get labeled as unhealthy","scan_result_explanation"
"can you talk about what the detected patterns mean","scan_result_explanation"
"what does the output summary of my scan suggest","scan_result_explanation"
"the scan rated my nail as abnormal explain that","scan_result_explanation"
"why does it show a score next to the prediction","scan_result_explanation"
"can you simplify what the result means for me","scan_result_explanation"
"why does the scan say healthy even though my nail looks weird","scan_result_explanation"
"why does the prediction show uncertainty","scan_result_explanation"
"what does the probability value beside my result mean","scan_result_explanation"
"my scan flagged a potential issue what is it referring to","scan_result_explanation"
"can you explain what the scanner sees in my nail","scan_result_explanation"
"the analysis bar is orange what does that represent","scan_result_explanation"
"my result description confuses me please explain","scan_result_explanation"
"how do i interpret the condition my scan detected","scan_result_explanation"
"the scan’s explanation is unclear can you elaborate","scan_result_explanation"
"why does my scan look different from similar scans online","scan_result_explanation"
"my scan result says mild risk what does that actually mean","scan_result_explanation"
"can you explain why the scan marked my nail as suspicious","scan_result_explanation"
"what does the warning triangle next to my result indicate","scan_result_explanation"
"why does my result say possible nail disease instead of clear","scan_result_explanation"
"the scan says low probability of disease how should i read that","scan_result_explanation"
"what is the meaning of the description text under my result title","scan_result_explanation"
"why did the system highlight one part of my nail in the image","scan_result_explanation"
"what does it mean if my scan shows mixed features in the summary","scan_result_explanation"
"the analysis says pattern suggests infection what does that imply","scan_result_explanation"
"why does my result show both healthy and suspicious areas","scan_result_explanation"
